ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bbfaef23, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3658e319, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9e7b9847, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@24d2b651, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a8aa4414, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4752300b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@ed42ccd3, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@221ce712, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@db651b6d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@ca447fc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4ede67c2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bae5edb2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
